ds,y
20200429,3185925
20200430,3269608
20200501,3356663
20200502,3438339
20200503,3515957
20200504,3592058
20200505,3672050
20200506,3762073
20200507,3851158
20200508,3942676
20200509,4028522
20200510,4104768
20200511,4181009
20200512,4264584
20200513,4349360
20200514,4446448
20200515,4542815
20200516,4638237
20200517,4716758
20200518,4805049
20200519,4901442
20200520,5004471
20200521,5110805
20200522,5217705
20200523,5322994
20200524,5418320
20200525,5505283
20200526,5597805
20200527,5700405
20200528,5819719
20200529,5940890
20200530,6078719
20200531,6186277
20200601,6281486
20200602,6402323
20200603,6521646
20200604,6648602
20200605,6779470
20200606,6915423
20200607,7027718
20200608,7129862
20200609,7254233
20200610,7388229
20200611,7526344
20200612,7655466
20200613,7791423
20200614,7924897
20200615,8044535
20200616,8186067
20200617,8328061
20200618,8468066
20200619,8648955
20200620,8806589
20200621,8935203
20200622,9072474
20200623,9237859
20200624,9409094
20200625,9587076
20200626,9778491
20200627,9956663
20200628,10118389
20200629,10276540
20200630,10450359
20200701,10668014
20200702,10875759
20200703,11079326
20200704,11273007
20200705,11455588
20200706,11622931
20200707,11833775
20200708,12045577
20200709,12273804
20200710,12506381
20200711,12722506
20200712,12915161
20200713,13107969
20200714,13329608
20200715,13560727
20200716,13813400
20200717,14055307
20200718,14292942
20200719,14507589
20200720,14714367
20200721,14947990
20200722,15228469
20200723,15511225
20200724,15792390
20200725,16047935
20200726,16261215
20200727,16487669
20200728,16740006
20200729,17029155
20200730,17309805
20200731,17599905
20200801,17850617
20200802,18079723
20200803,18282208
20200804,18540789
20200805,18811953
20200806,19097149
20200807,19378036
20200808,19637506
20200809,19861683
20200810,20089624
20200811,20344188
20200812,20621140
20200813,20907124
20200814,21211573
20200815,21459699
20200816,21672186
20200817,21881858
20200818,22136954
